epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,48.0646,0.14755,0.99713,1,0.01219,0.0670631,0.000332696,0.000332696
2,98.2656,0.03947,0.97894,1,0.05457,0.0340301,0.000633061,0.000633061
3,150.099,0.02745,0.99928,1,0.00212,0.000964161,0.000900426,0.000900426
4,203.059,0.01904,0.9994,1,0.00263,0.0008515,0.0008515,0.0008515
5,255.879,0.01446,0.9988,1,0.00374,0.000802,0.000802,0.000802
6,307.798,0.01315,0.99964,1,0.00087,0.0007525,0.0007525,0.0007525
7,359.222,0.00838,0.9994,1,0.00174,0.000703,0.000703,0.000703
8,410.981,0.00949,0.99988,1,0.0002,0.0006535,0.0006535,0.0006535
9,462.693,0.00822,0.99976,1,0.00066,0.000604,0.000604,0.000604
10,514.175,0.00611,1,1,5e-05,0.0005545,0.0005545,0.0005545
11,602.637,0.00554,0.99964,1,0.00163,0.000505,0.000505,0.000505
12,656.16,0.00578,0.99964,1,0.00065,0.0004555,0.0004555,0.0004555
13,710.541,0.00554,0.99988,1,0.00024,0.000406,0.000406,0.000406
14,765.212,0.00316,1,1,5e-05,0.0003565,0.0003565,0.0003565
15,819.66,0.00276,1,1,8e-05,0.000307,0.000307,0.000307
